week,date,market,brand,units_w,rev_usd_w,cov_w,dp,units_wx,rev_usd_wx,products,in_list,best_bsr
2026-07-27,2026-08-02,DE,Anua,2100,45004,5,5,3343,62024,67,0,99
2026-07-27,2026-08-02,DE,BIODANCE,4100,56013,5,5,4806,67272,29,1,4
2026-07-27,2026-08-02,DE,Beauty of Joseon,1700,26253,5,5,3017,37097,32,0,107
2026-07-27,2026-08-02,DE,COSRX,1700,25766,5,5,3779,50240,80,0,310
2026-07-27,2026-08-02,DE,Coreana,0,0,0,5,23,626,44,0,46336
2026-07-27,2026-08-02,DE,Melaxin,1150,22006,3,5,1185,22734,21,1,33
2026-07-27,2026-08-02,DE,Purito,2000,25159,5,5,2406,29469,90,1,49
2026-07-27,2026-08-02,DE,d'Alba,3100,62114,5,5,4646,93603,40,1,20
2026-07-27,2026-08-02,DE,medicube,8200,162596,5,5,12798,201377,123,3,5
2026-07-27,2026-08-02,ES,Anua,850,9979,5,5,1101,13285,59,0,157
2026-07-27,2026-08-02,ES,BIODANCE,2600,35975,5,5,2682,37366,21,2,3
2026-07-27,2026-08-02,ES,Beauty of Joseon,650,10185,4,5,836,11982,25,0,165
2026-07-27,2026-08-02,ES,COSRX,700,9777,5,5,956,12536,71,0,302
2026-07-27,2026-08-02,ES,Coreana,550,8650,4,5,1246,18700,45,0,136
2026-07-27,2026-08-02,ES,Melaxin,100,2346,1,5,170,4449,20,0,3024
2026-07-27,2026-08-02,ES,Purito,300,4378,4,5,405,6232,62,0,230
2026-07-27,2026-08-02,ES,d'Alba,4300,80530,5,5,6066,119962,36,3,5
2026-07-27,2026-08-02,ES,medicube,10000,216713,5,5,14897,283717,130,7,2
2026-07-27,2026-08-02,FR,Anua,50,792,1,5,527,11155,57,0,1
2026-07-27,2026-08-02,FR,BIODANCE,2200,37032,4,5,4659,67295,23,3,1
2026-07-27,2026-08-02,FR,Beauty of Joseon,200,2182,1,5,547,8921,28,0,1
2026-07-27,2026-08-02,FR,COSRX,300,4822,4,5,592,9148,71,0,2
2026-07-27,2026-08-02,FR,Coreana,0,0,0,5,23,621,6,0,8
2026-07-27,2026-08-02,FR,Melaxin,100,2652,2,5,100,2652,24,0,13
2026-07-27,2026-08-02,FR,Purito,200,3413,2,5,373,5640,70,0,3
2026-07-27,2026-08-02,FR,d'Alba,0,0,0,5,462,10254,36,0,2
2026-07-27,2026-08-02,FR,medicube,3300,72490,4,5,8668,166980,124,6,7
2026-07-27,2026-08-02,IT,Anua,100,2051,1,5,432,9578,56,0,833
2026-07-27,2026-08-02,IT,BIODANCE,50,1031,1,5,397,7055,18,0,9
2026-07-27,2026-08-02,IT,Beauty of Joseon,100,1365,2,5,841,11319,28,0,168
2026-07-27,2026-08-02,IT,COSRX,50,659,1,5,818,13100,70,0,890
2026-07-27,2026-08-02,IT,Coreana,700,18900,1,5,8053,126150,89,2,4
2026-07-27,2026-08-02,IT,Melaxin,50,1134,1,5,86,2092,17,0,15963
2026-07-27,2026-08-02,IT,Purito,400,7052,3,5,886,14188,55,0,603
2026-07-27,2026-08-02,IT,d'Alba,250,5721,2,5,435,10209,25,0,289
2026-07-27,2026-08-02,IT,medicube,12000,231271,5,5,19241,380604,120,8,2
2026-07-27,2026-08-02,UK,Anua,700,10668,1,5,7560,143156,90,0,273
2026-07-27,2026-08-02,UK,BIODANCE,4000,88900,1,5,11772,195039,37,1,13
2026-07-27,2026-08-02,UK,Beauty of Joseon,4500,58401,2,5,11652,151673,35,1,25
2026-07-27,2026-08-02,UK,COSRX,0,0,0,5,12072,158389,69,0,163
2026-07-27,2026-08-02,UK,Coreana,0,0,0,2,0,0,2,0,
2026-07-27,2026-08-02,UK,Melaxin,600,13179,2,5,3384,63517,34,0,656
2026-07-27,2026-08-02,UK,Purito,2500,35941,4,5,4443,65307,59,0,209
2026-07-27,2026-08-02,UK,d'Alba,300,5079,1,5,4239,74697,22,0,201
2026-07-27,2026-08-02,UK,medicube,45000,788670,5,5,60751,1060185,88,7,1
2026-07-27,2026-08-02,US,Anua,0,0,0,5,108107,2230811,112,2,88
2026-07-27,2026-08-02,US,BIODANCE,9000,207000,1,5,47412,1012243,47,2,8
2026-07-27,2026-08-02,US,Beauty of Joseon,1100,24822,2,5,4334,83050,17,0,1856
2026-07-27,2026-08-02,US,COSRX,1000,18750,1,5,24562,482710,112,0,778
2026-07-27,2026-08-02,US,Coreana,50,449,1,5,50,449,7,0,107590
2026-07-27,2026-08-02,US,Melaxin,0,0,0,5,52620,1080481,78,0,108
2026-07-27,2026-08-02,US,Purito,0,0,0,5,11722,205246,34,0,407
2026-07-27,2026-08-02,US,d'Alba,8100,265962,4,5,8112,266304,34,0,108
2026-07-27,2026-08-02,US,medicube,51000,1002600,4,5,115829,1943074,119,10,1
2026-08-03,2026-08-09,DE,Anua,0,0,0,0,3160,39026,70,0,
2026-08-03,2026-08-09,DE,BIODANCE,0,0,0,0,5372,61664,32,1,
2026-08-03,2026-08-09,DE,Beauty of Joseon,5,119,1,0,2420,25544,32,0,
2026-08-03,2026-08-09,DE,COSRX,0,0,0,0,4411,35260,80,0,
2026-08-03,2026-08-09,DE,Coreana,0,0,0,0,0,0,6,0,
2026-08-03,2026-08-09,DE,Melaxin,0,0,0,0,1340,27330,21,1,
2026-08-03,2026-08-09,DE,Purito,0,0,0,0,1641,23843,88,0,
2026-08-03,2026-08-09,DE,d'Alba,0,0,0,0,7056,114123,40,1,
2026-08-03,2026-08-09,DE,medicube,0,0,0,0,10325,136268,90,2,
2026-08-03,2026-08-09,ES,BIODANCE,0,0,0,0,0,0,2,2,
2026-08-03,2026-08-09,ES,d'Alba,0,0,0,0,0,0,3,3,
2026-08-03,2026-08-09,ES,medicube,0,0,0,0,0,0,3,3,
2026-08-03,2026-08-09,FR,Anua,0,0,0,0,835,12800,61,0,
2026-08-03,2026-08-09,FR,BIODANCE,0,0,0,0,4687,67258,29,3,
2026-08-03,2026-08-09,FR,Beauty of Joseon,0,0,0,0,693,10221,33,0,
2026-08-03,2026-08-09,FR,COSRX,0,0,0,0,602,9381,71,0,
2026-08-03,2026-08-09,FR,Coreana,0,0,0,0,0,0,6,0,
2026-08-03,2026-08-09,FR,Melaxin,0,0,0,0,0,0,26,0,
2026-08-03,2026-08-09,FR,Purito,0,0,0,0,357,5711,75,0,
2026-08-03,2026-08-09,FR,d'Alba,0,0,0,0,439,7771,40,0,
2026-08-03,2026-08-09,FR,medicube,0,0,0,0,5623,86578,92,2,
2026-08-03,2026-08-09,UK,Anua,0,0,0,0,7185,127698,93,0,
2026-08-03,2026-08-09,UK,BIODANCE,0,0,0,0,10289,163554,41,1,
2026-08-03,2026-08-09,UK,Beauty of Joseon,0,0,0,0,12092,159204,30,1,
2026-08-03,2026-08-09,UK,COSRX,0,0,0,0,12244,163793,69,0,
2026-08-03,2026-08-09,UK,Coreana,0,0,0,0,0,0,14,0,
2026-08-03,2026-08-09,UK,Melaxin,0,0,0,0,3512,61510,34,0,
2026-08-03,2026-08-09,UK,Purito,0,0,0,0,4358,63751,61,0,
2026-08-03,2026-08-09,UK,d'Alba,0,0,0,0,3915,68094,24,0,
2026-08-03,2026-08-09,UK,medicube,0,0,0,0,45780,782129,92,6,
2026-08-03,2026-08-09,US,Anua,40000,747080,8,12,106194,2216003,92,1,84
2026-08-03,2026-08-09,US,BIODANCE,57400,1010044,12,12,57958,1022224,45,2,3
2026-08-03,2026-08-09,US,Beauty of Joseon,5700,136482,11,12,5712,136542,12,0,1919
2026-08-03,2026-08-09,US,COSRX,12500,226065,12,12,23625,429672,88,0,784
2026-08-03,2026-08-09,US,Coreana,50,449,1,8,50,449,8,0,122890
2026-08-03,2026-08-09,US,Melaxin,29000,586300,12,12,35767,730290,64,0,125
2026-08-03,2026-08-09,US,Purito,6700,120542,11,12,7542,132960,38,0,527
2026-08-03,2026-08-09,US,d'Alba,9850,197068,9,12,9897,199115,34,0,227
2026-08-03,2026-08-09,US,medicube,85000,1604980,11,12,105706,2297966,73,7,2
2026-08-24,2026-08-30,DE,Anua,6200,95164,23,34,6687,100923,77,2,26
2026-08-24,2026-08-30,DE,BIODANCE,4350,53482,11,12,4731,57272,32,2,3
2026-08-24,2026-08-30,DE,Beauty of Joseon,3600,49245,13,19,4146,54455,41,2,28
2026-08-24,2026-08-30,DE,COSRX,2750,42671,11,15,4136,60370,79,0,119
2026-08-24,2026-08-30,DE,Coreana,0,0,0,21,35,730,46,0,41
2026-08-24,2026-08-30,DE,Melaxin,1050,17716,2,12,1225,20635,22,0,94
2026-08-24,2026-08-30,DE,Purito,850,12062,6,17,1141,15799,79,0,80
2026-08-24,2026-08-30,DE,d'Alba,5400,116600,12,15,5791,121671,44,2,8
2026-08-24,2026-08-30,DE,medicube,10200,186666,12,12,12534,202650,85,3,1
2026-08-24,2026-08-30,ES,Anua,0,0,0,0,1486,19873,82,0,
2026-08-24,2026-08-30,ES,BIODANCE,0,0,0,0,5532,64609,16,3,
2026-08-24,2026-08-30,ES,Beauty of Joseon,0,0,0,0,810,12032,32,0,
2026-08-24,2026-08-30,ES,COSRX,0,0,0,0,1204,16782,70,0,
2026-08-24,2026-08-30,ES,Coreana,0,0,0,0,1212,14931,27,3,
2026-08-24,2026-08-30,ES,Melaxin,0,0,0,0,104,2573,22,0,
2026-08-24,2026-08-30,ES,Purito,0,0,0,0,498,8193,63,0,
2026-08-24,2026-08-30,ES,d'Alba,0,0,0,0,6986,113682,35,4,
2026-08-24,2026-08-30,ES,medicube,0,0,0,0,13293,230515,81,8,
2026-08-24,2026-08-30,FR,Anua,0,0,0,0,881,15659,91,0,
2026-08-24,2026-08-30,FR,BIODANCE,0,0,0,0,4040,47848,22,3,
2026-08-24,2026-08-30,FR,Beauty of Joseon,0,0,0,0,694,4251,37,0,
2026-08-24,2026-08-30,FR,COSRX,0,0,0,0,822,11215,70,0,
2026-08-24,2026-08-30,FR,Coreana,0,0,0,0,12,324,35,0,
2026-08-24,2026-08-30,FR,Melaxin,0,0,0,0,12,371,26,0,
2026-08-24,2026-08-30,FR,Purito,0,0,0,0,347,5020,81,0,
2026-08-24,2026-08-30,FR,d'Alba,0,0,0,0,358,4626,37,0,
2026-08-24,2026-08-30,FR,medicube,0,0,0,0,9399,194539,89,9,
2026-08-24,2026-08-30,IT,BIODANCE,0,0,0,0,0,0,2,2,
2026-08-24,2026-08-30,IT,Coreana,0,0,0,0,0,0,1,1,
2026-08-24,2026-08-30,IT,medicube,0,0,0,0,0,0,12,12,
2026-08-24,2026-08-30,UK,BIODANCE,0,0,0,0,0,0,2,2,
2026-08-24,2026-08-30,UK,Beauty of Joseon,0,0,0,0,0,0,1,1,
2026-08-24,2026-08-30,UK,medicube,10000,170434,1,1,10000,170434,10,10,1
2026-08-24,2026-08-30,US,Anua,69350,1351230,16,19,90693,1757950,89,2,54
2026-08-24,2026-08-30,US,BIODANCE,43200,897057,12,12,44147,916133,46,2,11
2026-08-24,2026-08-30,US,Beauty of Joseon,5300,135112,13,14,5312,135291,14,0,1703
2026-08-24,2026-08-30,US,COSRX,12950,258541,13,15,24789,509273,86,0,717
2026-08-24,2026-08-30,US,Coreana,0,0,0,9,35,326,9,0,161367
2026-08-24,2026-08-30,US,Melaxin,32400,681738,31,43,37573,779139,70,0,198
2026-08-24,2026-08-30,US,Purito,7700,115460,14,14,8152,122643,32,0,533
2026-08-24,2026-08-30,US,d'Alba,14250,365894,11,13,14262,366014,36,0,102
2026-08-24,2026-08-30,US,medicube,154650,3292520,17,17,164017,3713809,70,8,2
